国家,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,98.8900142,99.85833009,99.52352389,98.89703585,98.59319436,97.95235322,97.4590408,96.85883089,96.30485658,95.40743945,94.13609613,93.17068363,92.08056421,91.15066841,90.50915341,90.34641685,90.02284863,89.89175884
Albania,109.9945086,108.1874394,109.1663678,110.2754315,110.1766441,107.7483159,104.8222831,100.0480367,99.59947369,97.81900598,97.13219231,97.78721015,97.83619228,98.32202791,99.41271543,99.14279272,98.70791538,98.2361137
Algeria,87.53323473,85.50740081,83.46667374,82.05917639,79.9343572,77.87710995,75.80497737,73.83492377,71.90176316,70.25728773,68.59329563,67.221579,65.83581696,64.52648566,63.33811414,62.3320148,61.25376765,60.41187263
American Samoa,84.33534392,82.85151398,81.69993383,81.10010789,80.45313377,79.46445552,78.50414923,77.92986357,77.19035781,77.32884781,76.75604566,76.04872708,75.46765134,75.03767136,74.32497147,74.53815528,74.01358537,73.53796691
Andean Latin America,44.58854689,42.58054141,42.40038442,42.28737407,41.79060859,41.18150224,39.90972051,39.08277407,38.76927121,38.95158341,38.55073285,37.42036032,35.96815622,34.21592724,32.5544353,31.30414226,30.48764413,29.6958716
Andorra,71.24006146,69.72029407,68.2916788,67.83496664,67.58131853,66.75127438,65.5563254,64.77291696,64.1310285,63.5804896,62.82235703,61.58804966,60.755154,60.16758241,59.46582294,58.55136046,58.1832621,57.76983271
Angola,137.9989128,134.1807014,129.045464,126.7164446,126.4150825,121.5929694,119.4846396,115.6046327,112.2246458,109.8234621,106.7483062,104.3261712,102.3855932,99.33720693,94.6862868,92.1954101,89.70029793,87.57827391
Antigua and Barbuda,54.89394435,53.4474628,51.91043032,50.59265254,49.13362182,47.99272599,46.91239547,45.45175543,44.2581049,43.18916741,42.55579219,41.87018843,41.10550239,40.26856936,40.11292407,39.39842841,38.86431214,38.4235104
Argentina,129.5307471,129.2516907,131.0189408,131.4512441,126.4755203,123.531255,121.8897047,123.7655565,118.100102,116.3195793,113.6223972,111.9601362,109.7519883,107.1229869,102.7688943,100.6424224,99.12043706,96.50562687
Armenia,132.2286522,130.9868565,132.5602445,132.8377193,131.357614,131.3820099,131.1391907,129.2989771,129.182197,128.6181596,127.3368038,124.3901496,120.3658556,116.9777237,116.7619262,117.0510803,116.4439516,116.9049207
Australasia,85.28027175,81.61868661,79.27274912,75.86888563,72.52089658,68.95030022,66.07105204,64.90908965,62.70205383,59.94338087,57.53196714,55.92053286,53.52802546,52.04603865,51.86162116,51.33454654,50.78622205,51.28124277
Australia,83.70087649,79.91834182,77.55771033,74.10785329,70.88728907,67.47115739,64.54921113,63.41741805,61.20898846,58.45280304,56.1327621,54.51876428,52.05068005,50.74737004,50.75025088,50.48642929,50.05987286,50.82643754
Austria,92.3247705,87.87595428,85.23626307,82.23281027,78.32981482,75.82206966,72.3757906,71.46456794,69.52603998,70.82936025,69.62122741,68.47368265,67.49784033,66.76377892,65.75998902,65.37106833,63.99789782,63.64742712
Azerbaijan,140.2118624,136.8095967,138.6199186,140.9717987,140.7100467,142.0469015,142.1487558,138.5889686,138.0724761,136.9681106,137.9708569,138.4304505,138.1612805,139.1564597,139.0787904,138.3235503,139.8381076,142.203312
Bahamas,51.64957459,51.4518711,49.30452817,47.62851817,47.38686607,46.0917267,46.99897101,45.61971261,45.65108541,45.8235054,45.35087873,44.93285551,44.14334557,43.41389083,43.47229069,43.5580841,43.27001899,42.93432045
Bahrain,99.62182874,92.82065927,89.41521845,90.40700282,87.88882283,81.31720757,73.40732865,69.19363154,63.83531306,58.35649064,55.00547794,52.5260394,50.31743727,48.22130547,46.781452,46.49618811,46.12379636,45.8463997
Bangladesh,119.6376526,115.5349234,111.7145734,109.034426,106.2119599,105.2750875,105.2017921,105.323062,102.4681517,99.16542939,97.44634108,91.12055089,85.25216023,82.77226892,83.13566318,80.89705905,79.50978,80.06533729
Barbados,46.31319846,44.19425317,44.20460934,43.69463486,43.59372108,43.49139518,41.93273008,40.24491179,39.1791099,37.06746815,36.35485224,35.73841728,34.89989947,34.64041061,34.61795905,34.58870048,34.36665675,34.30293608
Belarus,188.9299629,196.9995397,204.1251405,195.6915664,190.1741913,193.5508908,184.9603846,174.0471446,174.9278757,174.7565364,177.009909,177.2803306,154.8992768,149.6153237,144.8353163,138.1674999,134.8915064,134.8274856
Belgium,136.4462603,132.4964318,130.7822432,127.0802495,121.4537589,118.8713299,113.0466659,111.9437062,111.2322472,108.2959022,104.7329329,102.5627913,100.9295638,97.40333669,92.04122775,90.35753659,86.36486491,84.0637359
Belize,81.50747816,74.62265052,73.39854663,72.32724221,69.14195371,66.3442204,64.04945661,60.49607665,57.13847716,55.77720177,54.45129092,52.77476929,51.53143887,51.40107125,51.65872765,52.24202322,51.99716486,51.52107824
Benin,66.03297531,64.82532423,63.47540014,61.91416706,60.23041784,58.39083116,57.02045698,55.78946825,54.63610836,53.85508635,52.94936637,52.24388243,51.50711677,50.43349377,49.19084382,47.82585928,46.50963225,45.24862603
Bermuda,64.59265429,61.688864,60.4720524,59.5414347,57.93641394,56.21090436,55.64198151,54.204437,53.23526788,52.25964928,51.21376773,50.42608068,50.59008425,50.21132616,49.76215693,49.19218606,48.98389235,48.71336609
Bhutan,79.65537639,77.48192297,75.32418882,73.80790048,71.89175393,70.34889673,68.55901046,67.05457814,65.5568892,64.57240809,63.17967405,61.7904213,60.42235122,59.16845259,57.88942842,56.63262857,55.37035226,54.18762201
Bolivia,73.55465472,70.7339241,68.74502206,66.71423702,64.74110861,63.2218863,61.5334852,60.27462245,59.0380712,57.83487458,56.7154771,55.64634486,54.58127831,53.53703088,52.52620726,51.56416818,50.64534148,49.83994108
Bosnia and Herzegovina,140.8850304,139.9043937,137.8208902,132.1526304,129.1534957,134.3681029,132.8810171,137.7235347,133.0028967,133.8606511,132.9068154,133.1632038,132.1554856,134.5416639,136.1697468,139.548221,140.6103731,141.7362511
Botswana,99.81470967,100.5092772,101.8418307,102.6890007,102.290483,100.4592912,98.17318432,92.93148932,92.98264298,92.02185534,89.86341363,87.59915039,84.46504152,82.28254839,80.38174391,78.77620084,76.19431824,74.19458052
