国家,2012,2013,2014,2015,2016,2017
Afghanistan,19.3,19.1,18.6,18.9,19.4,20.3
Albania,29.3,29.4,31.8,29.7,28.1,28
Algeria,15.9,14.5,10,9.3,7.5,7.4
American Samoa,24.2,23.6,22.6,22.8,21.6,22.4
Andorra,23.2,22.4,22,22.3,21.8,22.4
Angola,10.1,9.5,8.6,8.2,8.8,10.2
Antigua and Barbuda,8.1,7.5,7.1,6,5.7,5.2
Argentina,24.7,24.4,23.5,22.7,22.4,22
Armenia,28.7,29.8,29.4,31.5,32.4,29.2
Australasia,27.6,26.7,25.6,25,24.3,23.3
Australia,27.3,26.6,25.6,25.1,24.4,23.5
Austria,25.2,25.2,25,25.6,26.1,24.7
Azerbaijan,25.7,22.9,20.5,20.1,22.5,22.2
Bahamas,16,15.5,13.7,12.4,11.2,11.1
Bahrain,33.9,29.6,26.6,25,21.6,19.3
Bangladesh,29,28.9,28.6,26.9,30.7,38.3
Barbados,8,8.1,6.7,6,5.5,5.7
Belarus,30.3,33,31.1,29.7,27.7,25.5
Belgium,35.4,35.1,34.4,33.9,34.3,33
Belize,10.2,14.3,15.9,16.8,14.8,16
Benin,7.4,7.6,8.2,8.9,9.7,10.4
Bermuda,33.2,33,32.9,29.1,27.4,24.9
Bhutan,9.4,8.7,7.4,7.4,7.3,7.8
Bolivia,9,8.9,8.2,8.8,8.6,9.2
Bosnia and Herzegovina,35.9,35.4,35.4,34.3,34.3,33.6
Botswana,23.6,25.7,27.2,24.9,24.2,22
Brazil,19.5,20.1,19.8,19.1,17.8,17
Brunei,20.3,19.6,20,20.4,21,21.4
Bulgaria,25.7,27.2,26.1,27.7,27.7,26.3
Burkina Faso,4.5,4.6,4.7,4,4.2,4.6
Burundi,7.7,7.5,5.6,4.5,4.4,4.8
Cambodia,24,24.7,24.6,25.4,26,26.8
Cameroon,9.9,10,11,11.6,11.7,12.1
Canada,36.3,37,36.2,36.4,34.4,33.4
Cape Verde,16,18.5,19,19.8,20.5,19.8
Caribbean,21.6,21.2,21.3,21.5,21.4,21.4
Central African Republic,11.5,11.9,12.3,12.4,12.4,12.3
Central Asia,29.7,28.5,24.8,23.7,21.8,20.1
Central Europe,32.2,33.1,33.1,33.4,33.6,31.4
Central Sub-Saharan Africa,8.4,8,7.6,6.8,7.1,8.4
Chad,5.1,5.4,6.8,7.1,8.3,9.1
Chile,16.1,15.7,14.1,14.3,14.6,14.3
China,18.3,18.6,20.8,23.4,23.9,22
Colombia,14.8,15.3,14.7,14.7,13.6,11.5
Comoros,5.5,5.5,4.5,4.2,4.4,4.5
Congo,15.7,15.7,14,11.4,10.7,11.1
